127.0.0.1 - - [21/Nov/2022:12:44:38 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [21/Nov/2022:12:44:42 +0530] "GET /Hospital/index.jsp HTTP/1.1" 200 7331
0:0:0:0:0:0:0:1 - - [21/Nov/2022:12:44:42 +0530] "GET /Hospital/img/hos1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2022:12:44:42 +0530] "GET /Hospital/img/doc1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2022:12:44:42 +0530] "GET /Hospital/img/doc2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2022:12:44:42 +0530] "GET /Hospital/img/doctt.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2022:12:44:42 +0530] "GET /Hospital/img/doc33.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2022:12:44:42 +0530] "GET /Hospital/img/doc11.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2022:12:44:42 +0530] "GET /Hospital/img/doc44.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2022:12:44:42 +0530] "GET /Hospital/img/doc22.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2022:12:44:42 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [21/Nov/2022:12:44:55 +0530] "GET /Hospital/admin_login.jsp HTTP/1.1" 200 3980
0:0:0:0:0:0:0:1 - - [21/Nov/2022:12:44:58 +0530] "GET /Hospital/doctor_login.jsp HTTP/1.1" 200 3684
0:0:0:0:0:0:0:1 - - [21/Nov/2022:12:45:02 +0530] "GET /Hospital/user_login.jsp HTTP/1.1" 200 3832
0:0:0:0:0:0:0:1 - - [21/Nov/2022:12:45:07 +0530] "GET /Hospital/signup.jsp HTTP/1.1" 200 4146
0:0:0:0:0:0:0:1 - - [21/Nov/2022:12:45:34 +0530] "POST /Hospital/user_register HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Nov/2022:12:45:34 +0530] "GET /Hospital/signup.jsp HTTP/1.1" 200 4165
0:0:0:0:0:0:0:1 - - [21/Nov/2022:12:47:10 +0530] "GET /Hospital/user_login.jsp HTTP/1.1" 200 3832
